obj	obj_conf	unit_suggest	unit_src	cls	label_votes	label_conf	n_fns	n_template	n_arbitrary	n_objres	span_lo	span_hi	span_bytes	owned_bytes	overlap_pinned	overlap_sibling	flags
xgraphics:vectorize.obj	1.000	xdk/xgraphics/vectorize.cpp	DC3	Compiler,Dependency	45	0.833	54	8	0	54	0x82995058	0x829AC468	95248	95160	0	0	-
d3dx9:ccompiler.obj	1.000	xdk/d3dx9/ccompiler.cpp	DC3	CCompiler,D3DXShader	36	0.947	38	0	0	38	0x828970B8	0x828AAB10	80472	80340	0	0	-
xgraphics:import.obj	1.000	xdk/xgraphics/import.cpp	DC3	Compiler,ParseStack,ComponentTypeEnumerator	35	0.648	54	7	0	54	0x829EC320	0x829FFAF8	79832	79748	0	0	-
d3dx9:cprogram.obj	1.000	xdk/d3dx9/cprogram.cpp	DC3	CProgram	42	1.000	42	0	0	42	0x828EF2D0	0x82900B04	71732	71652	0	0	-
xgraphics:instr.obj	1.000	xdk/xgraphics/instr.cpp	DC3	Compiler,Instruction,D3DXShader	66	0.524	126	15	0	126	0x82A216A8	0x82A30578	61136	60916	0	0	-
d3dx9:cshaderprogram.obj	1.000	xdk/d3dx9/cshaderprogram.cpp	DC3	CShaderProgram,D3DXShader	79	0.888	89	0	0	89	0x828CC378	0x828DA8D4	58716	58492	0	0	-
xgraphics:predication.obj	1.000	xdk/xgraphics/predication.cpp	DC3	Compiler,Instruction,D3DXShader	45	0.592	76	13	0	76	0x8296DC90	0x829799CC	48444	48292	0	0	-
d3dx9:cpslegacyprogram.obj	1.000	xdk/d3dx9/cpslegacyprogram.cpp	DC3	CPSLegacyProgram,D3DXShader	58	0.935	62	0	0	62	0x82918338	0x82923114	44508	44388	0	0	-
xgraphics:optimize.obj	1.000	xdk/xgraphics/optimize.cpp	MAIN	Compiler,Instruction,D3DXShader	78	0.743	105	12	0	105	0x829B3418	0x829BCFB8	39840	39492	0	0	-
d3dx9:cprogram.obj	1.000	xdk/d3dx9/cprogram.cpp	DC3	CProgram,D3DXShader	53	0.898	59	0	0	59	0x828E6B28	0x828EF234	34572	34452	0	0	-
xgraphics:optimize.obj	1.000	xdk/xgraphics/optimize.cpp	MAIN	Compiler	14	0.378	37	23	0	37	0x829BF848	0x829C6C50	29704	29640	0	0	-
xgraphics:clean.obj	1.000	xdk/xgraphics/clean.cpp	DC3	Compiler	20	0.870	23	3	0	23	0x829AC468	0x829B2EC4	27228	27204	0	0	-
xgraphics:scheduler.obj	1.000	xdk/xgraphics/scheduler.cpp	DC3	Compiler,Instruction,Scheduler	9	0.196	46	17	0	46	0x82985A60	0x8298C2F4	26772	26664	0	0	-
xgraphics:globreg.obj	1.000	xdk/xgraphics/globreg.cpp	DC3	Compiler	7	0.583	12	5	0	12	0x8297B888	0x829816C0	24120	24104	0	0	-
d3dx9:cparse.obj	1.000	xdk/d3dx9/cparse.cpp	DC3	CParse	31	1.000	31	0	0	31	0x82906B30	0x8290BB00	20432	20364	0	0	-
xgraphics:peeps.obj	1.000	xdk/xgraphics/peeps.cpp	DC3	Instruction,Compiler,Dependency	6	0.400	15	1	0	15	0x8298C2F8	0x829911DC	20196	20148	0	0	-
xgraphics:emit.obj	1.000	xdk/xgraphics/emit.cpp	DC3	Compiler,CompilerHeap,Dependency	10	0.769	13	0	0	13	0x8295B1B8	0x8295FD24	19308	19272	0	0	-
d3dx9:cpslegacyprogram.obj	1.000	xdk/d3dx9/cpslegacyprogram.cpp	DC3	CPSLegacyProgram	16	0.889	18	0	0	18	0x829231E0	0x82927C60	19072	19040	0	0	-
d3dx9:cshaderprogram.obj	1.000	xdk/d3dx9/cshaderprogram.cpp	DC3	CShaderProgram	52	1.000	52	0	0	52	0x828DD700	0x828E1EFC	18428	18244	0	0	-
xgraphics:regopt.obj	1.000	xdk/xgraphics/regopt.cpp	DC3	Compiler,RegOptSimulator,InfiniteLocalRegisterSet	10	0.370	27	8	0	27	0x829686B8	0x8296C9AC	17140	17072	0	0	-
d3dx9:cuassembler.obj	1.000	xdk/d3dx9/cuassembler.cpp	DC3	CUAssembler	15	1.000	15	0	0	15	0x828B9620	0x828BD834	16916	16888	0	0	-
xaudio2:msaudiodec.obj	1.000	xdk/xaudio2/msaudiodec.cpp	DC3	xWMA	21	1.000	21	0	0	21	0x82BEA210	0x82BEE40C	16892	16824	0	0	-
xgraphics:r400psilutil.obj	1.000	xdk/xgraphics/r400psilutil.cpp	DC3	XGRAPHICS	26	0.867	30	0	0	30	0x8294A190	0x8294DC10	14976	14928	0	0	-
d3dx9:c30swprogram.obj	1.000	xdk/d3dx9/c30swprogram.cpp	DC3	C30SWProgram,C30SWProgramML	19	0.950	20	0	0	20	0x828C7E58	0x828CB7EC	14740	14716	0	0	-
xgraphics:r500assembler.obj	1.000	xdk/xgraphics/ucode/driver/r500assembler.cpp	MAIN	XGRAPHICS,OutStream,FixSerializationContext	21	0.750	28	0	0	28	0x82940538	0x82943DF0	14520	14440	0	0	-
d3dx9:cuassembler.obj	1.000	xdk/d3dx9/cuassembler.cpp	DC3	CUAssembler,D3DXShader,CUAssemblerYaccStruct	15	0.833	18	0	0	18	0x828BDF80	0x828C15D8	13912	13876	0	0	-
xgraphics:vectorize.obj	1.000	xdk/xgraphics/vectorize.cpp	DC3	Compiler,Instruction,D3DXShader	38	0.826	46	5	0	46	0x82991BC8	0x82994F98	13264	13148	0	0	-
xgraphics:constreg.obj	1.000	xdk/xgraphics/constreg.cpp	DC3	Compiler	9	0.429	21	12	0	21	0x82982818	0x82985A5C	12868	12844	0	0	-
xgraphics:shaderpdbbuilder.obj	1.000	xdk/xgraphics/shaderpdbbuilder.cpp	DC3	ShaderPDBBuilder	42	0.568	74	12	0	74	0x8293AE58	0x8293DFB0	12632	12448	0	0	-
xaudio2:msaudiodec.obj	1.000	xdk/xaudio2/msaudiodec.cpp	DC3	xWMA	24	1.000	24	0	0	24	0x82BE6B50	0x82BE9AC0	12144	12100	0	0	-
xgraphics:litevalr500.obj	1.000	xdk/xgraphics/litevalr500.cpp	DC3	-	0	0.000	34	0	0	34	0x8295FD28	0x82962C78	12112	12028	0	0	-
xgraphics:import.obj	1.000	xdk/xgraphics/import.cpp	DC3	Compiler,ResultStack,ResultStackEnumerator	31	0.886	35	0	0	35	0x829E9398	0x829EC2B8	12064	11948	0	0	-
d3dx9:c30swprogram.obj	1.000	xdk/d3dx9/c30swprogram.cpp	DC3	C30SWProgram,C30SWProgramCI	25	0.862	29	0	0	29	0x828C2AF8	0x828C58E4	11756	11716	0	0	-
d3dx9:cassembler.obj	1.000	xdk/d3dx9/cassembler.cpp	DC3	CAssembler,CFragmentRegisterAllocator,CFragmentInfo	9	0.600	15	0	0	15	0x828900A0	0x82892D40	11424	11396	0	0	-
d3dx9:cshaderprogram.obj	1.000	xdk/d3dx9/cshaderprogram.cpp	DC3	CShaderProgram	13	1.000	13	0	0	13	0x828DA928	0x828DD4D0	11176	11152	0	0	-
d3dx9:cconstanttable.obj	1.000	xdk/d3dx9/cconstanttable.cpp	DC3	CConstantTable	1	0.067	15	12	0	15	0x828AB928	0x828AE3AC	10884	10852	0	0	-
d3dx9:cparse.obj	1.000	xdk/d3dx9/cparse.cpp	DC3	CParse	21	1.000	21	0	0	21	0x829024C0	0x82904F28	10856	10820	0	0	-
xgraphics:optimize.obj	1.000	xdk/xgraphics/optimize.cpp	MAIN	Compiler	2	0.182	11	9	0	11	0x829BD058	0x829BF7FC	10148	10128	0	0	-
xapilibi:rtlheap.obj	1.000	xdk/xapilibi/rtlheap.cpp	DC3	-	0	0.000	12	0	0	12	0x82841220	0x82843870	9808	9760	0	0	-
d3dx9:cparse.obj	1.000	xdk/d3dx9/cparse.cpp	DC3	CParse	7	1.000	7	0	0	7	0x8290E1D0	0x829107C8	9720	9704	0	0	-
xaudio2:oapreverb.obj	1.000	xdk/xaudio2/oapreverb.cpp	DC3	COAPReverbMono,COAPReverbFromMonoTo5Point1,COAPReverbStereo	2	0.200	10	0	0	10	0x82BD9F00	0x82BDC380	9344	9320	0	0	-
xgraphics:execopts.obj	1.000	xdk/xgraphics/execopts.cpp	DC3	Compiler,Block,Instruction	11	0.647	17	0	0	17	0x82962C78	0x82964F9C	8996	8964	0	0	-
d3dx9:cassembler.obj	1.000	xdk/d3dx9/cassembler.cpp	DC3	CAssembler,CAssemblerYaccStruct	3	0.750	4	0	0	4	0x82892DD8	0x828950E0	8968	8960	0	0	-
xgraphics:r400vs.obj	1.000	xdk/xgraphics/r400vs.cpp	DC3	XGRAPHICS	10	1.000	10	0	0	10	0x82958238	0x8295A300	8392	8368	0	0	-
xaudio2:drccommonpro.obj	1.000	xdk/xaudio2/drccommonpro.cpp	DC3	xWMA	14	1.000	14	0	0	14	0x82C01F80	0x82C04044	8388	8356	0	0	-
xaudio2:entropydecpro.obj	1.000	xdk/xaudio2/entropydecpro.cpp	DC3	xWMA	15	1.000	15	0	0	15	0x82C04808	0x82C068D0	8392	8352	0	0	-
xgraphics:disasm.obj	1.000	xdk/xgraphics/ucode/compiler/asm/disasm.cpp	MAIN	Disassembler	11	1.000	11	0	0	11	0x8294F3C0	0x82951304	8004	7992	0	0	-
d3dx9:ccompiler.obj	1.000	xdk/d3dx9/ccompiler.cpp	DC3	CCompiler,D3DXShader	14	0.824	17	0	0	17	0x82895160	0x82896FF4	7828	7792	0	0	-
xmcore:lf.obj	1.000	xdk/xmcore/lf.cpp	DC3	-	0	0.000	16	0	0	16	0x82C0F828	0x82C11564	7484	7432	0	0	-
xaudio2:msaudiostdpro.obj	1.000	xdk/xaudio2/msaudiostdpro.cpp	DC3	xWMA	9	1.000	9	0	0	9	0x82BFD850	0x82BFF4F4	7332	7320	0	0	-
xgraphics:convert.obj	1.000	xdk/xgraphics/convert.cpp	DC3	-	0	0.000	18	0	0	18	0x829368A8	0x82938470	7112	7084	0	0	-
d3dx9:c30program.obj	1.000	xdk/d3dx9/c30program.cpp	DC3	C30Program	5	1.000	5	0	0	5	0x828E2FE0	0x828E4B48	7016	7004	0	0	-
